Mood,DateRaw,type,noteMood,date
Happy,"December 4, 2023 at 05:00AM",mood,,12/4/2023 19:00:00
Happy,"December 4, 2023 at 05:00AM",mood,,12/4/2023 19:00:00
Neutral,"December 4, 2023 at 05:59PM",mood,,12/5/2023 7:59:00
Neutral,"December 4, 2023 at 07:24PM",mood,,12/5/2023 9:24:00
Neutral,"December 04, 2023 at 09:53PM",mood,,12/5/2023 11:53:00
Nervous,"December 04, 2023 at 09:53PM",mood,,12/5/2023 11:53:00
Happy,"December 05, 2023 at 12:34AM",mood,,12/5/2023 14:34:00
Neutral,"December 5, 2023 at 01:56AM",mood,,12/5/2023 15:56:00
Nervous,"December 5, 2023 at 02:14AM",mood,,12/5/2023 16:14:00
Nervous,"December 5, 2023 at 02:53AM",mood,,12/5/2023 16:53:00
Neutral,"December 5, 2023 at 03:55AM",mood,,12/5/2023 17:55:00
Happy,"December 5, 2023 at 03:55AM",mood,,12/5/2023 17:55:00
Neutral,"December 5, 2023 at 05:45AM",mood,,12/5/2023 19:45:00
Happy,"December 05, 2023 at 07:16AM",mood,,12/5/2023 21:16:00
Neutral,"December 5, 2023 at 06:10PM",mood,,12/6/2023 8:10:00
Neutral,"December 5, 2023 at 07:02PM",mood,,12/6/2023 9:02:00
Neutral,"December 5, 2023 at 08:31PM",mood,,12/6/2023 10:31:00
Nervous,"December 05, 2023 at 09:08PM",mood,,12/6/2023 11:08:00
Happy,"December 05, 2023 at 10:11PM",mood,,12/6/2023 12:11:00
Nervous,"December 06, 2023 at 01:22AM",mood,,12/6/2023 15:22:00
Играл посередине рабочего дня. Потом кажется что я что то упускаю,"December 06, 2023 at 01:23AM",note,nervous,12/6/2023 15:23:00
Neutral,"December 6, 2023 at 02:06AM",mood,,12/6/2023 16:06:00
Nervous,"December 06, 2023 at 04:47AM",mood,,12/6/2023 18:47:00
Neutral,"December 06, 2023 at 07:22AM",mood,,12/6/2023 21:22:00
Nervous,"December 6, 2023 at 07:24AM",mood,,12/6/2023 21:24:00
Neutral,"December 6, 2023 at 07:24AM",mood,,12/6/2023 21:24:00
Nervous,"December 6, 2023 at 07:25AM",mood,,12/6/2023 21:25:00
Neutral,"December 06, 2023 at 06:13PM",mood,,12/7/2023 8:13:00
Nervous,"December 06, 2023 at 06:13PM",mood,,12/7/2023 8:13:00
Nervous,"December 6, 2023 at 06:41PM",mood,,12/7/2023 8:41:00
Neutral,"December 6, 2023 at 06:41PM",mood,,12/7/2023 8:41:00
Neutral,"December 6, 2023 at 06:41PM",mood,,12/7/2023 8:41:00
Neutral,"December 6, 2023 at 07:47PM",mood,,12/7/2023 9:47:00
Nervous,"December 6, 2023 at 08:16PM",mood,,12/7/2023 10:16:00
Сделал что то что не хотел. Как будто меня заставили (на самом деле нет). Но я потерял контроль,"December 06, 2023 at 08:17PM",note,nervous,12/7/2023 10:17:00
Nervous,"December 6, 2023 at 09:27PM",mood,,12/7/2023 11:27:00
Happy,"December 6, 2023 at 10:07PM",mood,,12/7/2023 12:07:00
Neutral,"December 7, 2023 at 02:10AM",mood,,12/7/2023 16:10:00
Nervous,"December 07, 2023 at 02:22AM",mood,,12/7/2023 16:22:00
Happy,"December 7, 2023 at 03:31AM",mood,,12/7/2023 17:31:00
Happy,"December 7, 2023 at 04:13AM",mood,,12/7/2023 18:13:00
Happy,"December 7, 2023 at 06:32AM",mood,,12/7/2023 20:32:00
Happy,"December 7, 2023 at 06:32AM",mood,,12/7/2023 20:32:00
Happy,"December 07, 2023 at 09:14AM",mood,,12/7/2023 23:14:00
Neutral,"December 7, 2023 at 06:07PM",mood,,12/8/2023 8:07:00
Neutral,"December 7, 2023 at 06:41PM",mood,,12/8/2023 8:41:00
Happy,"December 7, 2023 at 06:41PM",mood,,12/8/2023 8:41:00
Nervous,"December 7, 2023 at 07:14PM",mood,,12/8/2023 9:14:00
Neutral,"December 7, 2023 at 07:50PM",mood,,12/8/2023 9:50:00
Nervous,"December 07, 2023 at 08:04PM",mood,,12/8/2023 10:04:00
"Тяжело читать - устали глаза, кажется опять двоится","December 07, 2023 at 08:05PM",note,nervous,12/8/2023 10:05:00
Neutral,"December 7, 2023 at 10:14PM",mood,,12/8/2023 12:14:00
Happy,"December 8, 2023 at 12:19AM",mood,,12/8/2023 14:19:00
Neutral,"December 8, 2023 at 12:42AM",mood,,12/8/2023 14:42:00
Neutral,"December 8, 2023 at 01:29AM",mood,,12/8/2023 15:29:00
Neutral,"December 8, 2023 at 04:04AM",mood,,12/8/2023 18:04:00
Neutral,"December 8, 2023 at 04:05AM",mood,,12/8/2023 18:05:00
Happy,"December 8, 2023 at 05:13AM",mood,,12/8/2023 19:13:00
Neutral,"December 8, 2023 at 06:29AM",mood,,12/8/2023 20:29:00
Happy,"December 8, 2023 at 06:29AM",mood,,12/8/2023 20:29:00
Happy,"December 8, 2023 at 08:26PM",mood,,12/9/2023 10:26:00
Happy,"December 8, 2023 at 08:26PM",mood,,12/9/2023 10:26:00
Nervous,"December 8, 2023 at 08:34PM",mood,,12/9/2023 10:34:00
Neutral,"December 8, 2023 at 09:33PM",mood,,12/9/2023 11:33:00
Neutral,"December 08, 2023 at 11:32PM",mood,,12/9/2023 13:32:00
Happy,"December 9, 2023 at 12:31AM",mood,,12/9/2023 14:31:00
Neutral,"December 9, 2023 at 01:03AM",mood,,12/9/2023 15:03:00
Neutral,"December 9, 2023 at 02:14AM",mood,,12/9/2023 16:14:00
Neutral,"December 9, 2023 at 02:43AM",mood,,12/9/2023 16:43:00
Neutral,"December 9, 2023 at 03:53AM",mood,,12/9/2023 17:53:00
Neutral,"December 9, 2023 at 04:50AM",mood,,12/9/2023 18:50:00
Nervous,"December 09, 2023 at 06:57AM",mood,,12/9/2023 20:57:00
Nervous,"December 09, 2023 at 08:25AM",mood,,12/9/2023 22:25:00
Happy,"December 09, 2023 at 08:49AM",mood,,12/9/2023 22:49:00
Чувство что выполнил все запланированное на день,"December 09, 2023 at 08:49AM",note,happy,12/9/2023 22:49:00
Happy,"December 9, 2023 at 07:28PM",mood,,12/10/2023 9:28:00
Nervous,"December 09, 2023 at 08:34PM",mood,,12/10/2023 10:34:00
Neutral,"December 9, 2023 at 08:57PM",mood,,12/10/2023 10:57:00
Happy,"December 9, 2023 at 09:15PM",mood,,12/10/2023 11:15:00
Happy,"December 9, 2023 at 09:36PM",mood,,12/10/2023 11:36:00
Happy,"December 9, 2023 at 10:01PM",mood,,12/10/2023 12:01:00
Happy,"December 9, 2023 at 10:51PM",mood,,12/10/2023 12:51:00
Happy,"December 9, 2023 at 11:36PM",mood,,12/10/2023 13:36:00
Happy,"December 9, 2023 at 11:53PM",mood,,12/10/2023 13:53:00
Поход с Т,"December 10, 2023 at 12:11AM",note,happy,12/10/2023 14:11:00
Neutral,"December 10, 2023 at 01:57AM",mood,,12/10/2023 15:57:00
Neutral,"December 10, 2023 at 06:21AM",mood,,12/10/2023 20:21:00
Neutral,"December 10, 2023 at 07:57AM",mood,,12/10/2023 21:57:00
Neutral,"December 10, 2023 at 07:09PM",mood,,12/11/2023 9:09:00
Happy,"December 10, 2023 at 08:31PM",mood,,12/11/2023 10:31:00
Neutral,"December 10, 2023 at 09:47PM",mood,,12/11/2023 11:47:00
Neutral,"December 10, 2023 at 10:49PM",mood,,12/11/2023 12:49:00
Neutral,"December 11, 2023 at 01:00AM",mood,,12/11/2023 15:00:00
Nervous,"December 11, 2023 at 02:23AM",mood,,12/11/2023 16:23:00
Happy,"December 11, 2023 at 02:30AM",mood,,12/11/2023 16:30:00
Happy,"December 11, 2023 at 02:30AM",mood,,12/11/2023 16:30:00
Happy,"December 11, 2023 at 02:33AM",mood,,12/11/2023 16:33:00
"На работе меня критиковали, но я достойно держался не воспринимая это как критику себя","December 11, 2023 at 02:34AM",note,happy,12/11/2023 16:34:00
Nervous,"December 11, 2023 at 03:51AM",mood,,12/11/2023 17:51:00
Neutral,"December 11, 2023 at 04:35AM",mood,,12/11/2023 18:35:00
Neutral,"December 11, 2023 at 06:41AM",mood,,12/11/2023 20:41:00
Neutral,"December 11, 2023 at 08:58AM",mood,,12/11/2023 22:58:00
Neutral,"December 11, 2023 at 05:38PM",mood,,12/12/2023 7:38:00
Neutral,"December 11, 2023 at 06:08PM",mood,,12/12/2023 8:08:00
Neutral,"December 11, 2023 at 07:16PM",mood,,12/12/2023 9:16:00
Nervous,"December 11, 2023 at 08:45PM",mood,,12/12/2023 10:45:00
Neutral,"December 11, 2023 at 08:53PM",mood,,12/12/2023 10:53:00
Happy,"December 11, 2023 at 09:33PM",mood,,12/12/2023 11:33:00
Neutral,"December 11, 2023 at 10:54PM",mood,,12/12/2023 12:54:00
Nervous,"December 12, 2023 at 12:21AM",mood,,12/12/2023 14:21:00
Neutral,"December 12, 2023 at 01:15AM",mood,,12/12/2023 15:15:00
Nervous,"December 12, 2023 at 01:43AM",mood,,12/12/2023 15:43:00
Nervous,"December 12, 2023 at 02:58AM",mood,,12/12/2023 16:58:00
Nervous,"December 12, 2023 at 03:58AM",mood,,12/12/2023 17:58:00
Чувство истощенности,"December 12, 2023 at 03:58AM",note,nervous,12/12/2023 17:58:00
Спорил с Виталиком - пытался объяснить свою мысль а он не понимал,"December 12, 2023 at 04:14AM",note,nervous,12/12/2023 18:14:00
Neutral,"December 12, 2023 at 06:30AM",mood,,12/12/2023 20:30:00
Neutral,"December 12, 2023 at 07:46AM",mood,,12/12/2023 21:46:00
Nervous,"December 12, 2023 at 08:01AM",mood,,12/12/2023 22:01:00
Neutral,"December 12, 2023 at 06:02PM",mood,,12/13/2023 8:02:00
Neutral,"December 12, 2023 at 07:02PM",mood,,12/13/2023 9:02:00
Nervous,"December 12, 2023 at 07:21PM",mood,,12/13/2023 9:21:00
Nervous,"December 12, 2023 at 07:56PM",mood,,12/13/2023 9:56:00
Nervous,"December 12, 2023 at 08:01PM",mood,,12/13/2023 10:01:00
Тревожность,"December 12, 2023 at 08:15PM",note,nervous,12/13/2023 10:15:00
Happy,"December 12, 2023 at 09:29PM",mood,,12/13/2023 11:29:00
Nervous,"December 12, 2023 at 11:17PM",mood,,12/13/2023 13:17:00
Nervous,"December 12, 2023 at 11:42PM",mood,,12/13/2023 13:42:00
Happy,"December 13, 2023 at 12:15AM",mood,,12/13/2023 14:15:00
Neutral,"December 13, 2023 at 01:41AM",mood,,12/13/2023 15:41:00
Neutral,"December 13, 2023 at 01:41AM",mood,,12/13/2023 15:41:00
Happy,"December 13, 2023 at 01:50AM",mood,,12/13/2023 15:50:00
Neutral,"December 13, 2023 at 03:16AM",mood,,12/13/2023 17:16:00
Neutral,"December 13, 2023 at 05:16AM",mood,,12/13/2023 19:16:00
Neutral,"December 13, 2023 at 06:19AM",mood,,12/13/2023 20:19:00
Happy,"December 13, 2023 at 08:46AM",mood,,12/13/2023 22:46:00
Happy,"December 13, 2023 at 08:46AM",mood,,12/13/2023 22:46:00
Neutral,"December 13, 2023 at 06:07PM",mood,,12/14/2023 8:07:00
Neutral,"December 13, 2023 at 09:06PM",mood,,12/14/2023 11:06:00
Nervous,"December 14, 2023 at 12:10AM",mood,,12/14/2023 14:10:00
Похмелье,"December 14, 2023 at 12:10AM",note,nervous,12/14/2023 14:10:00
Neutral,"December 14, 2023 at 01:15AM",mood,,12/14/2023 15:15:00
Neutral,"December 14, 2023 at 02:54AM",mood,,12/14/2023 16:54:00
Neutral,"December 14, 2023 at 05:34AM",mood,,12/14/2023 19:34:00
Neutral,"December 14, 2023 at 06:18AM",mood,,12/14/2023 20:18:00
Neutral,"December 14, 2023 at 07:02AM",mood,,12/14/2023 21:02:00
Happy,"December 14, 2023 at 08:17AM",mood,,12/14/2023 22:17:00
Nervous,"December 14, 2023 at 05:56PM",mood,,12/15/2023 7:56:00
Neutral,"December 14, 2023 at 05:57PM",mood,,12/15/2023 7:57:00
Neutral,"December 14, 2023 at 07:22PM",mood,,12/15/2023 9:22:00
Neutral,"December 14, 2023 at 07:33PM",mood,,12/15/2023 9:33:00
Neutral,"December 14, 2023 at 08:20PM",mood,,12/15/2023 10:20:00
Neutral,"December 14, 2023 at 09:39PM",mood,,12/15/2023 11:39:00
Neutral,"December 14, 2023 at 10:13PM",mood,,12/15/2023 12:13:00
Nervous,"December 14, 2023 at 11:02PM",mood,,12/15/2023 13:02:00
Neutral,"December 14, 2023 at 11:42PM",mood,,12/15/2023 13:42:00
Happy,"December 15, 2023 at 12:11AM",mood,,12/15/2023 14:11:00
Neutral,"December 15, 2023 at 12:34AM",mood,,12/15/2023 14:34:00
Happy,"December 15, 2023 at 01:23AM",mood,,12/15/2023 15:23:00
Nervous,"December 15, 2023 at 02:24AM",mood,,12/15/2023 16:24:00
Neutral,"December 15, 2023 at 03:16AM",mood,,12/15/2023 17:16:00
Nervous,"December 15, 2023 at 03:55AM",mood,,12/15/2023 17:55:00
Happy,"December 15, 2023 at 09:22AM",mood,,12/15/2023 23:22:00
Happy,"December 15, 2023 at 09:44AM",mood,,12/15/2023 23:44:00
Happy,"December 15, 2023 at 06:46PM",mood,,12/16/2023 8:46:00
Neutral,"December 15, 2023 at 07:43PM",mood,,12/16/2023 9:43:00
Happy,"December 15, 2023 at 08:45PM",mood,,12/16/2023 10:45:00
Neutral,"December 15, 2023 at 10:52PM",mood,,12/16/2023 12:52:00
Nervous,"December 15, 2023 at 10:52PM",mood,,12/16/2023 12:52:00
Happy,"December 16, 2023 at 12:10AM",mood,,12/16/2023 14:10:00
Neutral,"December 16, 2023 at 12:25AM",mood,,12/16/2023 14:25:00
Neutral,"December 16, 2023 at 03:37AM",mood,,12/16/2023 17:37:00
Neutral,"December 16, 2023 at 03:37AM",mood,,12/16/2023 17:37:00
Neutral,"December 16, 2023 at 06:12AM",mood,,12/16/2023 20:12:00
Neutral,"December 16, 2023 at 07:15PM",mood,,12/17/2023 9:15:00
Happy,"December 16, 2023 at 08:05PM",mood,,12/17/2023 10:05:00
Happy,"December 16, 2023 at 09:02PM",mood,,12/17/2023 11:02:00
Neutral,"December 16, 2023 at 09:44PM",mood,,12/17/2023 11:44:00
Neutral,"December 16, 2023 at 10:08PM",mood,,12/17/2023 12:08:00
Neutral,"December 16, 2023 at 10:36PM",mood,,12/17/2023 12:36:00
Neutral,"December 17, 2023 at 01:13AM",mood,,12/17/2023 15:13:00
Neutral,"December 17, 2023 at 01:42AM",mood,,12/17/2023 15:42:00
Happy,"December 17, 2023 at 04:28AM",mood,,12/17/2023 18:28:00
Neutral,"December 17, 2023 at 07:45AM",mood,,12/17/2023 21:45:00
Neutral,"December 17, 2023 at 07:31PM",mood,,12/18/2023 9:31:00
Neutral,"December 17, 2023 at 07:33PM",mood,,12/18/2023 9:33:00
Neutral,"December 17, 2023 at 08:27PM",mood,,12/18/2023 10:27:00
Happy,"December 17, 2023 at 09:14PM",mood,,12/18/2023 11:14:00
Neutral,"December 17, 2023 at 11:18PM",mood,,12/18/2023 13:18:00
Neutral,"December 17, 2023 at 11:52PM",mood,,12/18/2023 13:52:00
Neutral,"December 18, 2023 at 01:20AM",mood,,12/18/2023 15:20:00
Neutral,"December 18, 2023 at 02:13AM",mood,,12/18/2023 16:13:00
Neutral,"December 18, 2023 at 02:53AM",mood,,12/18/2023 16:53:00
Neutral,"December 18, 2023 at 05:41AM",mood,,12/18/2023 19:41:00
Neutral,"December 18, 2023 at 07:56AM",mood,,12/18/2023 21:56:00
Neutral,"December 18, 2023 at 06:01PM",mood,,12/19/2023 8:01:00
Neutral,"December 18, 2023 at 07:50PM",mood,,12/19/2023 9:50:00
Nervous,"December 18, 2023 at 07:59PM",mood,,12/19/2023 9:59:00
Neutral,"December 18, 2023 at 10:13PM",mood,,12/19/2023 12:13:00
Neutral,"December 18, 2023 at 11:30PM",mood,,12/19/2023 13:30:00
Neutral,"December 18, 2023 at 11:39PM",mood,,12/19/2023 13:39:00
Neutral,"December 19, 2023 at 12:21AM",mood,,12/19/2023 14:21:00
Neutral,"December 19, 2023 at 01:22AM",mood,,12/19/2023 15:22:00
Nervous,"December 19, 2023 at 02:01AM",mood,,12/19/2023 16:01:00
Виталик сказал что мен могут уволить,"December 19, 2023 at 02:02AM",note,nervous,12/19/2023 16:02:00
Nervous,"December 19, 2023 at 03:47AM",mood,,12/19/2023 17:47:00
Neutral,"December 19, 2023 at 05:21AM",mood,,12/19/2023 19:21:00
Happy,"December 19, 2023 at 06:11AM",mood,,12/19/2023 20:11:00
Neutral,"December 19, 2023 at 07:15AM",mood,,12/19/2023 21:15:00
Nervous,"December 19, 2023 at 05:49PM",mood,,12/20/2023 7:49:00
Neutral,"December 19, 2023 at 06:15PM",mood,,12/20/2023 8:15:00
Nervous,"December 19, 2023 at 07:20PM",mood,,12/20/2023 9:20:00
Neutral,"December 19, 2023 at 08:04PM",mood,,12/20/2023 10:04:00
Happy,"December 19, 2023 at 08:28PM",mood,,12/20/2023 10:28:00
Поговорил с печалью,"December 19, 2023 at 08:28PM",note,happy,12/20/2023 10:28:00
Happy,"December 19, 2023 at 09:11PM",mood,,12/20/2023 11:11:00
Neutral,"December 20, 2023 at 01:28AM",mood,,12/20/2023 15:28:00
Happy,"December 20, 2023 at 01:53AM",mood,,12/20/2023 15:53:00
Neutral,"December 20, 2023 at 02:27AM",mood,,12/20/2023 16:27:00
Nervous,"December 20, 2023 at 03:08AM",mood,,12/20/2023 17:08:00
Neutral,"December 20, 2023 at 05:52AM",mood,,12/20/2023 19:52:00
Nervous,"December 20, 2023 at 06:02AM",mood,,12/20/2023 20:02:00
"Чувства нервности притупились, они не такие яркие","December 20, 2023 at 06:03AM",note,nervous,12/20/2023 20:03:00
Nervous,"December 20, 2023 at 06:52AM",mood,,12/20/2023 20:52:00
Nervous,"December 20, 2023 at 07:09AM",mood,,12/20/2023 21:09:00
Happy,"December 20, 2023 at 06:23PM",mood,,12/21/2023 8:23:00
Neutral,"December 20, 2023 at 07:14PM",mood,,12/21/2023 9:14:00
Neutral,"December 20, 2023 at 08:37PM",mood,,12/21/2023 10:37:00
Neutral,"December 20, 2023 at 09:36PM",mood,,12/21/2023 11:36:00
Neutral,"December 20, 2023 at 10:17PM",mood,,12/21/2023 12:17:00
Nervous,"December 20, 2023 at 11:28PM",mood,,12/21/2023 13:28:00
Nervous,"December 21, 2023 at 01:36AM",mood,,12/21/2023 15:36:00
Nervous,"December 21, 2023 at 02:36AM",mood,,12/21/2023 16:36:00
Neutral,"December 21, 2023 at 06:09AM",mood,,12/21/2023 20:09:00
Neutral,"December 21, 2023 at 06:03PM",mood,,12/22/2023 8:03:00
Neutral,"December 21, 2023 at 06:48PM",mood,,12/22/2023 8:48:00
Neutral,"December 21, 2023 at 07:30PM",mood,,12/22/2023 9:30:00
Happy,"December 21, 2023 at 07:48PM",mood,,12/22/2023 9:48:00
Neutral,"December 21, 2023 at 09:33PM",mood,,12/22/2023 11:33:00
Neutral,"December 21, 2023 at 10:01PM",mood,,12/22/2023 12:01:00
Happy,"December 21, 2023 at 10:01PM",mood,,12/22/2023 12:01:00
Happy,"December 21, 2023 at 11:37PM",mood,,12/22/2023 13:37:00
Neutral,"December 22, 2023 at 02:02AM",mood,,12/22/2023 16:02:00
Neutral,"December 22, 2023 at 02:39AM",mood,,12/22/2023 16:39:00
Neutral,"December 22, 2023 at 04:48AM",mood,,12/22/2023 18:48:00
Neutral,"December 22, 2023 at 08:00PM",mood,,12/23/2023 10:00:00
Happy,"December 22, 2023 at 08:00PM",mood,,12/23/2023 10:00:00
Заметил что дыханием задавлив эмоции. Помедитировал- отпустило,"December 22, 2023 at 08:01PM",note,happy,12/23/2023 10:01:00
Neutral,"December 22, 2023 at 08:59PM",mood,,12/23/2023 10:59:00
Nervous,"December 22, 2023 at 09:14PM",mood,,12/23/2023 11:14:00
Nervous,"December 22, 2023 at 10:22PM",mood,,12/23/2023 12:22:00
Мусор на улице и в лесу,"December 22, 2023 at 10:22PM",note,nervous,12/23/2023 12:22:00
Nervous,"December 23, 2023 at 12:14AM",mood,,12/23/2023 14:14:00
Happy,"December 23, 2023 at 12:27AM",mood,,12/23/2023 14:27:00
Nervous,"December 23, 2023 at 12:28AM",mood,,12/23/2023 14:28:00
Nervous,"December 23, 2023 at 04:01AM",mood,,12/23/2023 18:01:00
Neutral,"December 23, 2023 at 07:01PM",mood,,12/24/2023 9:01:00
Neutral,"December 23, 2023 at 08:32PM",mood,,12/24/2023 10:32:00
Nervous,"December 23, 2023 at 08:52PM",mood,,12/24/2023 10:52:00
Хожу по магизну,"December 23, 2023 at 08:53PM",note,nervous,12/24/2023 10:53:00
Neutral,"December 23, 2023 at 10:10PM",mood,,12/24/2023 12:10:00
Nervous,"December 23, 2023 at 11:26PM",mood,,12/24/2023 13:26:00
Nervous,"December 24, 2023 at 12:48AM",mood,,12/24/2023 14:48:00
Neutral,"December 24, 2023 at 04:14AM",mood,,12/24/2023 18:14:00
Neutral,"December 24, 2023 at 08:33AM",mood,,12/24/2023 22:33:00
Nervous,"December 24, 2023 at 04:13PM",mood,,12/25/2023 6:13:00
Nervous,"December 24, 2023 at 06:15PM",mood,,12/25/2023 8:15:00
Neutral,"December 24, 2023 at 07:25PM",mood,,12/25/2023 9:25:00
Neutral,"December 24, 2023 at 07:30PM",mood,,12/25/2023 9:30:00
Neutral,"December 25, 2023 at 01:49AM",mood,,12/25/2023 15:49:00
Happy,"December 25, 2023 at 05:19AM",mood,,12/25/2023 19:19:00
Гости ушли. Кайфую под свою музыку,"December 25, 2023 at 05:19AM",note,happy,12/25/2023 19:19:00
Happy,"December 25, 2023 at 10:56AM",mood,,12/26/2023 0:56:00
Nervous,"December 25, 2023 at 06:53PM",mood,,12/26/2023 8:53:00
Happy,"December 25, 2023 at 10:39PM",mood,,12/26/2023 12:39:00
Happy,"December 26, 2023 at 12:33AM",mood,,12/26/2023 14:33:00
Neutral,"December 26, 2023 at 03:33AM",mood,,12/26/2023 17:33:00
Neutral,"December 26, 2023 at 05:34AM",mood,,12/26/2023 19:34:00
Neutral,"December 26, 2023 at 06:11AM",mood,,12/26/2023 20:11:00
Happy,"December 26, 2023 at 08:57AM",mood,,12/26/2023 22:57:00
Neutral,"December 26, 2023 at 08:31PM",mood,,12/27/2023 10:31:00
Nervous,"December 26, 2023 at 09:09PM",mood,,12/27/2023 11:09:00
Neutral,"December 26, 2023 at 09:53PM",mood,,12/27/2023 11:53:00
Nervous,"December 26, 2023 at 10:27PM",mood,,12/27/2023 12:27:00
Nervous,"December 27, 2023 at 02:56AM",mood,,12/27/2023 16:56:00
Neutral,"December 27, 2023 at 04:52AM",mood,,12/27/2023 18:52:00
Neutral,"December 27, 2023 at 05:32AM",mood,,12/27/2023 19:32:00
Happy,"December 27, 2023 at 06:40AM",mood,,12/27/2023 20:40:00
Happy,"December 27, 2023 at 07:54AM",mood,,12/27/2023 21:54:00
Neutral,"December 27, 2023 at 08:23PM",mood,,12/28/2023 10:23:00
Neutral,"December 27, 2023 at 08:23PM",mood,,12/28/2023 10:23:00
Happy,"December 27, 2023 at 10:00PM",mood,,12/28/2023 12:00:00
Neutral,"December 27, 2023 at 10:16PM",mood,,12/28/2023 12:16:00
Nervous,"December 27, 2023 at 10:35PM",mood,,12/28/2023 12:35:00
Nervous,"December 27, 2023 at 11:16PM",mood,,12/28/2023 13:16:00
Neutral,"December 28, 2023 at 01:21AM",mood,,12/28/2023 15:21:00
Neutral,"December 28, 2023 at 05:19AM",mood,,12/28/2023 19:19:00
Nervous,"December 28, 2023 at 07:14PM",mood,,12/29/2023 9:14:00
"Гонт рука и увидел пост про человека понявшего свою миссию, а у меня своей нет","December 28, 2023 at 07:15PM",note,nervous,12/29/2023 9:15:00
Nervous,"December 28, 2023 at 10:36PM",mood,,12/29/2023 12:36:00
Nervous,"December 28, 2023 at 10:44PM",mood,,12/29/2023 12:44:00
Nervous,"December 29, 2023 at 01:19AM",mood,,12/29/2023 15:19:00
Nervous,"December 29, 2023 at 01:53AM",mood,,12/29/2023 15:53:00
Neutral,"December 29, 2023 at 01:53AM",mood,,12/29/2023 15:53:00
Neutral,"December 29, 2023 at 03:16AM",mood,,12/29/2023 17:16:00
Neutral,"December 29, 2023 at 03:29AM",mood,,12/29/2023 17:29:00
Nervous,"December 29, 2023 at 03:41AM",mood,,12/29/2023 17:41:00
Neutral,"December 29, 2023 at 08:04AM",mood,,12/29/2023 22:04:00
Neutral,"December 29, 2023 at 06:52PM",mood,,12/30/2023 8:52:00
Neutral,"December 29, 2023 at 09:03PM",mood,,12/30/2023 11:03:00
Neutral,"December 29, 2023 at 10:18PM",mood,,12/30/2023 12:18:00
Neutral,"December 29, 2023 at 10:47PM",mood,,12/30/2023 12:47:00
Neutral,"December 29, 2023 at 11:32PM",mood,,12/30/2023 13:32:00
Happy,"December 30, 2023 at 01:29AM",mood,,12/30/2023 15:29:00
Nervous,"December 30, 2023 at 04:30AM",mood,,12/30/2023 18:30:00
Neutral,"December 30, 2023 at 06:13AM",mood,,12/30/2023 20:13:00
Nervous,"December 30, 2023 at 09:05PM",mood,,12/31/2023 11:05:00
Neutral,"December 30, 2023 at 09:05PM",mood,,12/31/2023 11:05:00
Nervous,"December 31, 2023 at 06:03AM",mood,,12/31/2023 20:03:00
Nervous,"December 31, 2023 at 06:41AM",mood,,12/31/2023 20:41:00
Nervous,"December 31, 2023 at 08:25AM",mood,,12/31/2023 22:25:00
Алкоголь плюс поход к Кадыровым развалили,"December 31, 2023 at 08:25AM",note,nervous,12/31/2023 22:25:00
Happy,"December 31, 2023 at 09:08PM",mood,,1/1/2024 11:08:00
Nervous,"December 31, 2023 at 11:32PM",mood,,1/1/2024 13:32:00
Neutral,"December 31, 2023 at 11:32PM",mood,,1/1/2024 13:32:00
Happy,"December 31, 2023 at 11:32PM",mood,,1/1/2024 13:32:00
Happy,"December 31, 2023 at 11:47PM",mood,,1/1/2024 13:47:00
Neutral,"January 1, 2024 at 01:21AM",mood,,1/1/2024 15:21:00
Neutral,"January 1, 2024 at 03:03AM",mood,,1/1/2024 17:03:00
Neutral,"January 1, 2024 at 03:41AM",mood,,1/1/2024 17:41:00
Nervous,"January 1, 2024 at 03:49AM",mood,,1/1/2024 17:49:00
Nervous,"January 1, 2024 at 03:52AM",mood,,1/1/2024 17:52:00
Neutral,"January 1, 2024 at 03:54AM",mood,,1/1/2024 17:54:00
Nervous,"January 01, 2024 at 06:13AM",mood,,1/1/2024 20:13:00
Nervous,"January 01, 2024 at 06:13AM",mood,,1/1/2024 20:13:00
Neutral,"January 01, 2024 at 08:07PM",mood,,1/2/2024 10:07:00
Happy,"January 1, 2024 at 10:08PM",mood,,1/2/2024 12:08:00
Nervous,"January 01, 2024 at 11:15PM",mood,,1/2/2024 13:15:00
Сломался пылесос и потерялся гарантийный чек,"January 01, 2024 at 11:15PM",note,nervous,1/2/2024 13:15:00
Neutral,"January 02, 2024 at 12:44AM",mood,,1/2/2024 14:44:00
Happy,"January 02, 2024 at 02:29AM",mood,,1/2/2024 16:29:00
Neutral,"January 02, 2024 at 03:55AM",mood,,1/2/2024 17:55:00
Neutral,"January 02, 2024 at 05:18AM",mood,,1/2/2024 19:18:00
Neutral,"January 02, 2024 at 07:44AM",mood,,1/2/2024 21:44:00
Neutral,"January 02, 2024 at 08:38PM",mood,,1/3/2024 10:38:00
Nervous,"January 02, 2024 at 11:42PM",mood,,1/3/2024 13:42:00
Neutral,"January 3, 2024 at 02:01AM",mood,,1/3/2024 16:01:00
Nervous,"January 3, 2024 at 02:22AM",mood,,1/3/2024 16:22:00
Neutral,"January 3, 2024 at 03:00AM",mood,,1/3/2024 17:00:00
Nervous,"January 3, 2024 at 04:59AM",mood,,1/3/2024 18:59:00
Neutral,"January 3, 2024 at 05:52AM",mood,,1/3/2024 19:52:00
