Mood,DateRaw,type,noteMood,date
Neutral,"November 14, 2023 at 02:03AM",mood,,11/14/2023 16:03:00
Confident,"November 14, 2023 at 02:40AM",goal,,11/14/2023 16:40:00
Nervous,"November 14, 2023 at 02:40AM",mood,,11/14/2023 16:40:00
Happy,"November 14, 2023 at 02:40AM",mood,,11/14/2023 16:40:00
Happy,"November 14, 2023 at 02:40AM",mood,,11/14/2023 16:40:00
Neutral,"November 14, 2023 at 06:15AM",mood,,11/14/2023 20:15:00
Neutral,"November 14, 2023 at 08:32AM",mood,,11/14/2023 22:32:00
Neutral,"November 14, 2023 at 08:32AM",mood,,11/14/2023 22:32:00
Confident,"November 14, 2023 at 06:02PM",goal,,11/15/2023 8:02:00
Happy,"November 14, 2023 at 06:08PM",mood,,11/15/2023 8:08:00
Nervous,"November 14, 2023 at 07:06PM",mood,,11/15/2023 9:06:00
Nervous,"November 14, 2023 at 07:06PM",mood,,11/15/2023 9:06:00
Какой то упадок настроения. Хотя начал высыпаться,"November 14, 2023 at 08:23PM",note,,11/15/2023 10:23:00
Nervous,"November 14, 2023 at 08:23PM",mood,,11/15/2023 10:23:00
Nervous,"November 15, 2023 at 01:51AM",mood,,11/15/2023 15:51:00
Nervous,"November 15, 2023 at 02:43AM",mood,,11/15/2023 16:43:00
Confident,"November 15, 2023 at 06:21PM",goal,,11/16/2023 8:21:00
Nervous,"November 15, 2023 at 07:16PM",mood,,11/16/2023 9:16:00
Nervous,"November 16, 2023 at 12:59AM",mood,,11/16/2023 14:59:00
Confident,"November 16, 2023 at 02:11AM",goal,,11/16/2023 16:11:00
Nervous,"November 16, 2023 at 02:53AM",mood,,11/16/2023 16:53:00
Nervous,"November 16, 2023 at 07:22AM",mood,,11/16/2023 21:22:00
Happy,"November 16, 2023 at 07:53AM",mood,,11/16/2023 21:53:00
Nervous,"November 16, 2023 at 05:58PM",mood,,11/17/2023 7:58:00
Nervous,"November 16, 2023 at 06:13PM",mood,,11/17/2023 8:13:00
Увидел плесень в душе и напрягся что надо с этим что то делать,"November 16, 2023 at 06:29PM",note,,11/17/2023 8:29:00
Nervous,"November 17, 2023 at 01:48AM",mood,,11/17/2023 15:48:00
